Fonction = process_departement_square | Temps d'éxécution = 0.06723928451538086
Fonction = process_square | Temps d'éxécution = 0.08665704727172852
Fonction = init_square | Temps d'éxécution = 3.0669760704040527
Fonction = init_map | Temps d'éxécution = 1.4033479690551758
##########  Exécution du 04/11/2021 18:28:33  ##########
Fonction = init_app | Temps d'éxécution = 0.0010018348693847656
Fonction = processing | Temps d'éxécution = 0.1944141387939453
Fonction = init_data | Temps d'éxécution = 0.844001054763794
Fonction = init_sidebar | Temps d'éxécution = 0.05091118812561035
Fonction = process_commune | Temps d'éxécution = 0.23343992233276367
Fonction = process_departement | Temps d'éxécution = 0.19818902015686035
Fonction = process_commune_square | Temps d'éxécution = 0.21286892890930176
Fonction = process_month | Temps d'éxécution = 0.16380906105041504
Fonction = process_local_region | Temps d'éxécution = 0.1736738681793213
Fonction = init_charts | Temps d'éxécution = 3.7135860919952393
Fonction = process_commune_square | Temps d'éxécution = 0.169295072555542
Fonction = process_departement_square | Temps d'éxécution = 0.17173290252685547
Fonction = process_square | Temps d'éxécution = 0.164902925491333
Fonction = init_square | Temps d'éxécution = 2.7585389614105225
Fonction = init_map | Temps d'éxécution = 1.0619571208953857
##########  Exécution du 04/11/2021 18:28:46  ##########
Fonction = init_app | Temps d'éxécution = 0.0009768009185791016
Fonction = processing | Temps d'éxécution = 0.2328929901123047
Fonction = init_data | Temps d'éxécution = 0.849280834197998
Fonction = init_sidebar | Temps d'éxécution = 0.05515885353088379
Fonction = process_commune | Temps d'éxécution = 0.030148029327392578
Fonction = process_departement | Temps d'éxécution = 0.026918888092041016
Fonction = process_commune_square | Temps d'éxécution = 0.029639005661010742
Fonction = process_month | Temps d'éxécution = 0.022343158721923828
Fonction = process_region | Temps d'éxécution = 0.02592325210571289
Fonction = process_local | Temps d'éxécution = 0.019485950469970703
Fonction = init_charts | Temps d'éxécution = 3.2151997089385986
Fonction = process_commune_square | Temps d'éxécution = 0.023431777954101562
Fonction = process_departement_square | Temps d'éxécution = 0.02340102195739746
Fonction = process_square | Temps d'éxécution = 0.01827263832092285
Fonction = process_commune_departement_square | Temps d'éxécution = 0.021053075790405273
Fonction = init_square | Temps d'éxécution = 2.6930091381073
Fonction = init_map | Temps d'éxécution = 0.7975242137908936
##########  Exécution du 04/11/2021 18:28:56  ##########
Fonction = init_app | Temps d'éxécution = 0.0008668899536132812
Fonction = processing | Temps d'éxécution = 0.2511172294616699
Fonction = init_data | Temps d'éxécution = 0.8944320678710938
Fonction = init_sidebar | Temps d'éxécution = 0.09302496910095215
Fonction = process_commune | Temps d'éxécution = 0.08124375343322754
Fonction = process_departement | Temps d'éxécution = 0.07056689262390137
Fonction = process_commune_square | Temps d'éxécution = 0.07292008399963379
Fonction = process_region | Temps d'éxécution = 0.07095813751220703
Fonction = process_local | Temps d'éxécution = 0.08630776405334473
Fonction = init_charts | Temps d'éxécution = 3.2713160514831543
Fonction = process_commune_square | Temps d'éxécution = 0.04723811149597168
Fonction = process_departement_square | Temps d'éxécution = 0.06527996063232422
Fonction = process_square | Temps d'éxécution = 0.07014584541320801
Fonction = process_commune_departement_square | Temps d'éxécution = 0.0899651050567627
Fonction = init_square | Temps d'éxécution = 3.1733522415161133
Fonction = init_map | Temps d'éxécution = 1.4552466869354248
##########  Exécution du 04/11/2021 18:29:16  ##########
Fonction = init_app | Temps d'éxécution = 0.0009572505950927734
Fonction = processing | Temps d'éxécution = 0.2534658908843994
Fonction = init_data | Temps d'éxécution = 1.009045124053955
Fonction = init_sidebar | Temps d'éxécution = 0.18046998977661133
Fonction = process_commune | Temps d'éxécution = 0.12886786460876465
Fonction = process_departement | Temps d'éxécution = 0.09816908836364746
Fonction = process_commune_square | Temps d'éxécution = 0.13194489479064941
Fonction = process_region | Temps d'éxécution = 0.09580492973327637
Fonction = process_local_region | Temps d'éxécution = 0.10741782188415527
##########  Exécution du 04/11/2021 18:29:21  ##########
Fonction = init_app | Temps d'éxécution = 0.0015490055084228516
Fonction = processing | Temps d'éxécution = 0.22561383247375488
Fonction = init_data | Temps d'éxécution = 0.8712589740753174
Fonction = init_sidebar | Temps d'éxécution = 0.1817789077758789
Fonction = process_commune | Temps d'éxécution = 0.1391749382019043
Fonction = process_departement | Temps d'éxécution = 0.1143190860748291
